"CODIGO";"COD_EMPRESA";"CATEGORIA";"PRECO_EMBALAGEM_0";"PERC_DESCTO_ADICIONAL_EMBALAGEM_0";"PRECO_EMBALAGEM_1";"PRECO_EMBALAGEM_2"
"149929";"1";"LOJA";"208,95";"9,5980";"995,295";"4724,895"
"149929";"2";"LOJA";"209,895";"10,0050";"999,495";"4745,895"
"149929";"3";"LOJA";"209,895";"10,0050";"999,495";"4745,895"
"149929";"4";"LOJA";"209,895";"10,0050";"999,495";"4745,895"
"149929";"5";"LOJA";"221,445";"9,9573";"1049,895";"4987,395"
"149929";"6";"LOJA";"188,895";"5,5586";"899,745";"4273,395"
"149929";"7";"LOJA";"228,795";"12,8499";"1091,895";"5186,895"
"149929";"8";"LOJA";"209,895";"10,0050";"999,495";"4745,895"
"149929";"9";"LOJA";"209,895";"10,0050";"999,495";"4745,895"
"149929";"92";"CD";"209,895";"10,0050";"999,495";"4745,895"
"149929";"93";"CD";"209,895";"15,0075";"999,495";"4745,895"
"149930";"1";"LOJA";"241,395";"0,0000";"1144,395";"5438,895"
"149930";"2";"LOJA";"241,395";"0,0000";"1144,395";"5438,895"
"149930";"3";"LOJA";"241,395";"0,0000";"1144,395";"5438,895"
"149930";"4";"LOJA";"241,395";"0,0000";"1144,395";"5438,895"
"149930";"5";"LOJA";"241,395";"0,0000";"1144,395";"5438,895"
"149930";"6";"LOJA";"241,395";"0,0000";"1144,395";"5438,895"
"149930";"7";"LOJA";"241,395";"0,0000";"1144,395";"5438,895"
"149930";"8";"LOJA";"241,395";"0,0000";"1144,395";"5438,895"
