"CODIGO";"DIGITO";"DESCRICAO";"NIVEL_1";"NIVEL_2";"NIVEL_3";"EMBALAGEM_FORNECEDOR";"EMBALAGEM_COMPRA";"CONVERSAO_COMPRA_ARMAZENAGEM";"UNIDADE_ESTOQUE";"EMBALAGEM_VENDA_0";"EMBALAGEM_VENDA_1";"EMBALAGEM_VENDA_2";"CD_VOLTAGEM"
"410914";"7";"ORGANIZADOR 32X20 P/ARMARIO     0022";"B - UTILIDADES DOMESTICAS";"BD - ORGANIZAR";"BDP - ORGANIZADORES DE COZINHA";"CX-12-UN";"CX-1-CX";"12,000000";"UN";"UN-1-UN";"EB-10-UN";"EB-50-UN";"0"
"410926";"0";"SUPORTE XICARA CAFE          PT 0088";"B - UTILIDADES DOMESTICAS";"BD - ORGANIZAR";"BDP - ORGANIZADORES DE COZINHA";"CX-12-UN";"CX-1-CX";"12,000000";"UN";"UN-1-UN";"EB-10-UN";"EB-50-UN";"0"
"410989";"9";"PORCEL.A 90X90ESM.MUNARI BR EX1,63M2";"C - PISOS E REVESTIMENTOS";"CA - CERAMICOS E PORCELANATOS";"CAB - PORCELANATOS";"PL-73,35-M2";"M2-1-M2";"1,000000";"M2";"M2-1-M2";"EB-70-M2";"EB-140-M2";"0"
"411398";"5";"TRAVA PORTA PLS          61500";"G - PORTAS, JANELAS E FECHADURAS";"GA - PORTAS";"GAT - ACESSORIOS PARA PORTA";"CX-24-UN";"UN-1-UN";"1,000000";"UN";"UN-1-UN";"EB-10-UN";"EB-50-UN";"0"
"411797";"2";"GARFO MESA (AV) SAVANNAH      SH1122";"B - UTILIDADES DOMESTICAS";"BB - SERVIR - PRESENTES";"BBB - GARFOS";"CX-1-UN";"UN-1-UN";"1,000000";"UN";"UN-1-UN";"EB-20-UN";"EB-100-UN";"0"
"411799";"9";"FACA MESA (AV) SAVANNAH       SH1124";"B - UTILIDADES DOMESTICAS";"BB - SERVIR - PRESENTES";"BBC - FACAS";"CX-1-UN";"UN-1-UN";"1,000000";"UN";"UN-1-UN";"CX-60-UN";"EB-300-UN";"0"
"411805";"7";"FACA SMESA (AV) SAVANNAH      SH1114";"B - UTILIDADES DOMESTICAS";"BB - SERVIR - PRESENTES";"BBC - FACAS";"CX-1-UN";"UN-1-UN";"1,000000";"UN";"UN-1-UN";"CX-60-UN";"EB-300-UN";"0"
"411886";"3";"MANTA KING MICROF.220X240   2SORTIDA";"K - CAMA, MESA E BANHO";"KA - CAMA";"KAC - COBERTORES E MANTAS";"CX-10-UN";"UN-1-UN";"1,000000";"UN";"UN-1-UN";"EB-5-UN";"EB-25-UN";"0"
"411929";"0";"ESTUFA 10 BAND. DP VR EVR  10BD M127";"N - INDUSTRIAL E NEGOCIOS";"NB - REFRIGERACAO E CONSERVACAO INDUSTRIAL";"NBD - VITRINES E ESTUFAS";"CX-5-UN";"UN-1-UN";"1,000000";"UN";"UN-1-UN";" ";" ";"0"
"412007";"8";"GARFO MESA IX/PLS BAMBU  6PC    7381";"B - UTILIDADES DOMESTICAS";"BB - SERVIR - PRESENTES";"BBB - GARFOS";"CX-60-CJ";"CJ-1-CJ";"1,000000";"CJ";"CJ-1-CJ";"EB-10-CJ";"EB-50-CJ";"0"
