CODIGO,correlacao_preco_volume,n_obs,DESCRICAO,NIVEL_1,receita_total
443403,-0.47660113323883646,136.0,PRATO SMES.CER 21CM         BR 28790,B - UTILIDADES DOMESTICAS,19257.3885
457489,-0.4761988159438438,214.0,LAMP.LED  BULBO  T60 20W BR E27 MBIV,I - ILUMINACAO,503423.8394810212
471467,-0.47609926223988996,120.0,PANELA JG ANTIAD.5PC   CZ 9295306577,B - UTILIDADES DOMESTICAS,783009.9515000001
434954,-0.4759480194511347,116.0,TOALHA BNH LUMINA AR/MR      3675000,"K - CAMA, MESA E BANHO",91736.37333333334
458945,-0.47587909384766575,189.0,LENCOL JG SOLTE ESTAMPADOS     SORT.,"K - CAMA, MESA E BANHO",201396.8915
419435,-0.47577675686063614,188.0,ARAND.LED PLS.   BR 3W QD   AM 18547,I - ILUMINACAO,218175.125
432048,-0.47551696901610097,213.0,MASSA CORRIDA PVA CORAL PLS     25KG,S - TINTAS E QUIMICOS,9903877.893793339
149992,-0.4747313845600028,207.0,MARTELETE ROT/ROMP. 800W  HR2470 220,F - FERRAMENTAS,2440676.056
423168,-0.47386362975743584,80.0,FRITAD.ELET.3.5L  FAMILY   AF30 M220,D - ELETROS,380828.049
464213,-0.47355309968711884,93.0,TOALHA BANHAO VERONA         RS 1397,"K - CAMA, MESA E BANHO",11581.710000000001
451504,-0.4732919086522315,136.0,MESA SALA 1.30X0.78 AURORA    NT/OFF,O - MOVEIS,356474.181
448186,-0.47319349855004583,184.0,TV LED 32 HD SMT      UN32T4300AGXZD,R - ELETRONICOS,4135259.912225882
447868,-0.47286156752054476,100.0,PRATO RASO PORC.28CM    PEIXES 80000,B - UTILIDADES DOMESTICAS,162292.33165128206
486785,-0.47124034203820797,110.0,LENCOL JG QUEEN MICROTEC      SORT 6,"K - CAMA, MESA E BANHO",124553.4885
479948,-0.4709346709112451,98.0,GARRAFA TERM.1LROLHA       RS DL2103,B - UTILIDADES DOMESTICAS,40634.7585
127312,-0.4708207094835852,196.0,PANELA PRESSAO POL.4.5L  9295304948,B - UTILIDADES DOMESTICAS,255622.89200000002
444980,-0.470391689393862,135.0,TOALHA PRAIA 80X160 IBIZA BR/AZ 1460,"K - CAMA, MESA E BANHO",199330.005
451698,-0.46974289827134663,203.0,"TINT.EMBORRACHADA PLS   3,6L BR.NEVE",S - TINTAS E QUIMICOS,260102.9865
474984,-0.46970436796469056,93.0,TOALHA RST LIZZIE            AZ 2424,"K - CAMA, MESA E BANHO",15733.914
437168,-0.46940389263878,72.0,FRIGIDEIRA AL/CER.28CM          4905,B - UTILIDADES DOMESTICAS,27323.9715
382849,-0.469341122853058,189.0,DUCHA HIGI.C/DERIV.LIKE           CR,U - METAIS E ACESSORIOS,1558613.9814
79325,-0.4692470168395226,17.0,"CUBA LOC.EMB.49X32,5 OVAL  7611 PR77",W - LOUCAS E PIAS,2627.52
149054,-0.46899336216979826,84.0,INDICADOR VOLTAGEM EZ ALERT,F - FERRAMENTAS,39259.604999999996
460535,-0.4689109520696543,59.0,FORMA TORTA DESM.24CM ANTIAD.   1860,B - UTILIDADES DOMESTICAS,20175.085000000003
457700,-0.4680308035835496,127.0,TOALHA BNH LUMINA PT/CZ      3675132,"K - CAMA, MESA E BANHO",80473.71500000001
434969,-0.4677015449349922,144.0,TOALHA RST LUMINA BR/RS      3675280,"K - CAMA, MESA E BANHO",21983.766
470517,-0.4665202569639029,69.0,GARRAFA TERM.1L ROLHA    VM SR1091/3,B - UTILIDADES DOMESTICAS,17317.02
446296,-0.46506137540022713,33.0,"PORCEL.A 90X90 ESM.ARGOS AN.AC1,60M2",C - PISOS E REVESTIMENTOS,57190.7448
429484,-0.4636858152851389,150.0,TOM.CJ.TV                 LGC060 POP,E - MATERIAIS ELETRICOS,35572.845
459314,-0.46318594323520573,84.0,COPO LONG VID.390ML 06PC         015,B - UTILIDADES DOMESTICAS,37734.0495
432455,-0.4627109955769539,31.0,PRATO RASO PORC.26X26CM BOSSA 102443,B - UTILIDADES DOMESTICAS,4143.3
441981,-0.4626490725379961,178.0,LUSTRE LED 3EM1 45W   RS LP-02R 5183,I - ILUMINACAO,884293.7565
481418,-0.46251836898263265,71.0,PANELA JG ANTIAD.5PC   VM 9195306763,B - UTILIDADES DOMESTICAS,78228.29699999999
478104,-0.46246623414596344,157.0,TAPETE JG BANH. 2PC VIP CLASS   SORT,U - METAIS E ACESSORIOS,86218.986
