CODIGO,DESCRICAO,NIVEL_1,estoque_parado_total,lojas_com_estoque_parado,receita,qtd_vendida
348310,BALANCA ELET.300KG PLATAF. IX   2169,N - INDUSTRIAL E NEGOCIOS,13.0,3,67211.655,35.0
453054,SOFA 2L 1.90 LINHO            BG 275,O - MOVEIS,13.0,5,78017.31,24.0
390654,SABONET.BANC.ACR.OVAL  BR 20857/0007,U - METAIS E ACESSORIOS,13.0,1,38920.245,2031.0
186579,COLUNA SUSP.FIT           66202 PT02,W - LOUCAS E PIAS,13.0,8,2879.835,9.0
458881,CORTINA 260X170 PTK    BELLINI/AREIA,V - DECORACAO,13.0,1,45651.58500000001,303.0
370696,TORNEIRA PIA PARE.CR        C42 1160,U - METAIS E ACESSORIOS,13.0,3,24121.44,100.0
451644,MESA 0.90X0.90 CJ/04 CAD.     CS/OFF,O - MOVEIS,13.0,5,15451.590000000002,15.0
390711,CESTA ORG. PLS 39X60CM      RS 10869,B - UTILIDADES DOMESTICAS,12.0,2,18400.725,247.0
189616,CUBA LOC.APOIO RET. L7300  GELO GE17,W - LOUCAS E PIAS,12.0,6,9612.12,20.0
473902,LUSTRE CRIST.   9LP E14 LTB-004 5925,I - ILUMINACAO,12.0,3,137393.172,75.0
411929,ESTUFA 10 BAND. DP VR EVR  10BD M127,N - INDUSTRIAL E NEGOCIOS,12.0,1,26229.63,23.0
467544,LENCOL JG SOLTE DPL DINO        0009,"K - CAMA, MESA E BANHO",12.0,3,15093.645000000002,94.0
452092,BASE CAMA BOX BAU 1439    138X35X188,O - MOVEIS,12.0,4,18435.69,13.0
407584,PORTA-TALHER PLS S/TAMPA BR      826,B - UTILIDADES DOMESTICAS,12.0,1,41860.98,764.0
450826,TOALHA BANHAO RAVENNA        RS 3364,"K - CAMA, MESA E BANHO",12.0,1,43623.615000000005,602.0
419130,LUSTRE CRISTAL 6LP E14 AB    LTB-001,I - ILUMINACAO,12.0,4,254415.735,167.0
