CODIGO,DESCRICAO,NIVEL_1,qtd_vendida,receita,qtd_transacoes,lojas_distintas
462812,DISJ.BIPO.C DIN  63A       GII-C063A,E - MATERIAIS ELETRICOS,1352.0,69625.29,704,9
296839,TRAVESSA PORC.30CM QUEIJOS C04W-389P,B - UTILIDADES DOMESTICAS,3958.0,69444.501,825,9
469263,BALCAO COZ.1.20 3P/1G   CAS/OFF 1705,O - MOVEIS,147.0,69262.935,114,9
462832,DISJ.UNIP.C DIN  50A       GII-C050A,E - MATERIAIS ELETRICOS,5016.0,69232.92833333333,2134,9
454884,"LAMP.LED MR11 3,5W AM GU10 3000K BIV",I - ILUMINACAO,4377.0,69211.87,1046,7
393359,ELETROD.CORRU.  32MM     1  25M   AM,E - MATERIAIS ELETRICOS,777.0,69176.975,406,8
458811,TOALHA JG 2PC DUAL AIR C/CINTA    RS,"K - CAMA, MESA E BANHO",537.0,68920.1415,432,9
390649,CESTA ORG. PLS 30X39CM      CZ 10818,B - UTILIDADES DOMESTICAS,1993.0,68908.035,881,9
483565,CORTINA 240X170 RUSTICA NIGER     AR,V - DECORACAO,858.0,68772.41,454,9
380604,FECH.EX RM IXE 587/90E        MARINA,"G - PORTAS, JANELAS E FECHADURAS",254.0,68559.33,159,9
260256,"TINT.ESM.DIAL.B.AGUA BR 0,9L BR.NEVE",S - TINTAS E QUIMICOS,1453.0,68543.3875,658,9
428356,MAO FRANCESA ACO 35CM FORTE       BR,Q - BASICOS CONSTRUCAO,4499.0,68188.155,1037,9
473254,PRATO BOLO VID.C/PE 25CM       0216,B - UTILIDADES DOMESTICAS,1384.0,68148.0975,869,9
461358,COLCHA CASAL+P.TRAV 3PC JASMINE   CQ,"K - CAMA, MESA E BANHO",556.0,68103.3255,403,9
449215,LAMP.LED MR16   7W AM GU10     DIM.,I - ILUMINACAO,2177.0,68041.715,596,5
366453,CUBA LOC.SOB/EMB 43X31 OVAL     BR01,W - LOUCAS E PIAS,297.0,67944.555,214,9
427510,"CER.A 54X54 LAND GRIS CL HDP4 2,62M2",C - PISOS E REVESTIMENTOS,2106.48,67900.085715,109,10
435360,BATERIA P/CARRO        HNP50GDD 50AH,A - AUTOMOTIVO,122.0,67676.65800000001,108,5
457183,TOALHA RST SOLARE          OFFWH 403,"K - CAMA, MESA E BANHO",3548.0,67483.1955,1324,9
276764,ESCORREDOR PRATO PLS        BR 10848,B - UTILIDADES DOMESTICAS,1319.0,67431.2765,985,9
374666,PERSIANA ROLO 160X170  ZEBRA BR B102,V - DECORACAO,207.0,67412.625,158,9
167486,COLUNA SUSP.FIT/LIFE      66202 BR01,W - LOUCAS E PIAS,213.0,67216.233,138,9
348310,BALANCA ELET.300KG PLATAF. IX   2169,N - INDUSTRIAL E NEGOCIOS,35.0,67211.655,33,8
