CODIGO,DESCRICAO,NIVEL_1,motivo,receita,qtd_vendida
94491,INT.PAR.CJ.1P 10AVERT.611101 PLUS,E - MATERIAIS ELETRICOS,Receita irrisoria + estoque parado,6918.135,181.0
444045,"PORCEL.C 120X120 ESM.PLACE AC 1,44M2",C - PISOS E REVESTIMENTOS,Receita irrisoria + estoque parado,6973.9488,60.48
397593,PRATO FUND.PORC.21CM BLANC  EB024787,B - UTILIDADES DOMESTICAS,Receita irrisoria + estoque parado,7004.235000000001,193.0
419256,"PORCEL.A 59X59 ESM.BETON WH AC1,74M2",C - PISOS E REVESTIMENTOS,Receita irrisoria + estoque parado,7011.03942,102.66
347667,COND.JANEL  7500 MIDEA QCI075BB M220,D - ELETROS,Receita irrisoria + estoque parado,7065.135,4.0
445737,PRATO RASO PORC.28CM BLACK    003771,B - UTILIDADES DOMESTICAS,Receita irrisoria + estoque parado,7179.06,228.0
460518,PORTA-SACHE VID.6CM             1175,B - UTILIDADES DOMESTICAS,Receita irrisoria + estoque parado,7187.5650000000005,497.0
457920,POTE VID.1L RED.C/T            SUGAR,B - UTILIDADES DOMESTICAS,Receita irrisoria + estoque parado,7207.83,294.0
378098,APOIO COLHER PLS            CZ 10563,B - UTILIDADES DOMESTICAS,Receita irrisoria + estoque parado,7236.558,461.0
416388,ESPREM.BATATA IX              CK2029,B - UTILIDADES DOMESTICAS,Receita irrisoria + estoque parado,7264.425,366.0
445755,PRATO SMES.PORC.21CM PAPAYA   101711,B - UTILIDADES DOMESTICAS,Receita irrisoria + estoque parado,7268.31,288.0
312825,RODATETO BR 50X26MM              441,C - PISOS E REVESTIMENTOS,Receita irrisoria + estoque parado,7268.625000000001,95.0
373769,"REVEST.A 10X20 ARPEGE BLANC   0,15M2",C - PISOS E REVESTIMENTOS,Receita irrisoria + estoque parado,7277.492249999999,31.2
386111,PAINEL LED EMB/SOB 12W BR QD.BR MBIV,I - ILUMINACAO,Receita irrisoria + estoque parado,7348.32,146.0
298479,BACIA SNT.AZALEA PLUS      9130 PG59,W - LOUCAS E PIAS,Receita irrisoria + estoque parado,7360.29,15.0
463738,CAPACETE  P/MOT. RAZOR SHA. PT/VM 56,A - AUTOMOTIVO,Receita irrisoria + estoque parado,7381.71,19.0
460149,FONDUE PORC.CHOC/QUEIJO 04PC   17902,B - UTILIDADES DOMESTICAS,Receita irrisoria + estoque parado,7388.808000000001,114.0
460257,TACA AGUA/VINHO CRISTAL.500ML   2845,B - UTILIDADES DOMESTICAS,Receita irrisoria + estoque parado,7397.46,188.0
388537,PORTA MAD.LISA 090X210WENGUE PREMIUM,"G - PORTAS, JANELAS E FECHADURAS",Receita irrisoria + estoque parado,7433.265,18.0
220211,SILICONE ACETICO ALTA TEMP.VM    50G,S - TINTAS E QUIMICOS,Receita irrisoria + estoque parado,7450.3275,487.0
446578,ADUBO ORG.  1KG             04.14.08,J - JARDINAGEM,Receita irrisoria + estoque parado,7469.973,324.0
